hosp_date,age_group,new_hosp
2021-08-14,00-04,50
2021-08-14,00+,1320
2021-08-14,05-14,49
2021-08-14,15-34,299
2021-08-14,35-59,477
2021-08-14,60-79,294
2021-08-14,80+,151
2021-08-15,00-04,39
2021-08-15,00+,1012
2021-08-15,05-14,28
2021-08-15,15-34,243
2021-08-15,35-59,385
2021-08-15,60-79,212
2021-08-15,80+,105
2021-08-16,00-04,46
2021-08-16,00+,1003
2021-08-16,05-14,32
2021-08-16,15-34,263
2021-08-16,35-59,353
2021-08-16,60-79,202
2021-08-16,80+,107
2021-08-17,00-04,49
2021-08-17,00+,1604
2021-08-17,05-14,45
2021-08-17,15-34,394
2021-08-17,35-59,571
2021-08-17,60-79,382
2021-08-17,80+,163
2021-08-18,00-04,68
2021-08-18,00+,1685
2021-08-18,05-14,38
2021-08-18,15-34,357
2021-08-18,35-59,704
2021-08-18,60-79,324
2021-08-18,80+,194
2021-08-19,00-04,65
2021-08-19,00+,1718
2021-08-19,05-14,48
2021-08-19,15-34,377
2021-08-19,35-59,686
2021-08-19,60-79,351
2021-08-19,80+,191
2021-08-20,00-04,51
2021-08-20,00+,1743
2021-08-20,05-14,43
2021-08-20,15-34,431
2021-08-20,35-59,739
2021-08-20,60-79,283
2021-08-20,80+,196
2021-08-21,00-04,62
2021-08-21,00+,1702
2021-08-21,05-14,41
2021-08-21,15-34,387
2021-08-21,35-59,658
2021-08-21,60-79,359
2021-08-21,80+,195
2021-08-22,00-04,50
2021-08-22,00+,1269
2021-08-22,05-14,51
2021-08-22,15-34,293
2021-08-22,35-59,486
2021-08-22,60-79,229
2021-08-22,80+,160
2021-08-23,00-04,44
2021-08-23,00+,1232
2021-08-23,05-14,41
2021-08-23,15-34,301
2021-08-23,35-59,481
2021-08-23,60-79,234
2021-08-23,80+,131
2021-08-24,00-04,83
2021-08-24,00+,2199
2021-08-24,05-14,40
2021-08-24,15-34,477
2021-08-24,35-59,874
2021-08-24,60-79,452
2021-08-24,80+,273
2021-08-25,00-04,67
2021-08-25,00+,2464
2021-08-25,05-14,51
2021-08-25,15-34,533
2021-08-25,35-59,991
2021-08-25,60-79,556
2021-08-25,80+,266
2021-08-26,00-04,67
2021-08-26,00+,2375
2021-08-26,05-14,53
2021-08-26,15-34,569
2021-08-26,35-59,1035
2021-08-26,60-79,437
2021-08-26,80+,214
2021-08-27,00-04,77
2021-08-27,00+,2558
2021-08-27,05-14,49
2021-08-27,15-34,577
2021-08-27,35-59,1147
2021-08-27,60-79,457
2021-08-27,80+,251
2021-08-28,00-04,99
2021-08-28,00+,2568
2021-08-28,05-14,66
2021-08-28,15-34,568
2021-08-28,35-59,1040
2021-08-28,60-79,526
2021-08-28,80+,269
2021-08-29,00-04,72
2021-08-29,00+,1873
2021-08-29,05-14,53
2021-08-29,15-34,429
2021-08-29,35-59,722
2021-08-29,60-79,347
2021-08-29,80+,250
2021-08-30,00-04,85
2021-08-30,00+,1775
2021-08-30,05-14,45
